Device,IP,Status,Response Time,Timestamp
Cisco Router,192.168.1.1,ONLINE,19.25 ms,2026-05-23 22:02:19
Localhost,127.0.0.1,ONLINE,15.84 ms,2026-05-23 22:02:19
Google Server,142.250.183.14,ONLINE,26.76 ms,2026-05-23 22:02:19
Cloudflare Server,104.16.132.229,ONLINE,55.11 ms,2026-05-23 22:02:19
Manga Fier,192.168.100.250,OFFLINE,3990.71 ms,2026-05-23 22:02:23
Velside,192.168.29.1,OFFLINE,3990.39 ms,2026-05-23 22:02:23
Google DNS,8.8.8.8,ONLINE,30.28 ms,2026-05-23 22:02:53
Cloudflare DNS,1.1.1.1,ONLINE,59.43 ms,2026-05-23 22:02:53
OpenDNS,208.67.222.222,ONLINE,58.67 ms,2026-05-23 22:02:53
Quad9 DNS,9.9.9.9,ONLINE,28.63 ms,2026-05-23 22:02:53
Cisco Router,192.168.1.1,ONLINE,18.59 ms,2026-05-23 22:02:53
Localhost,127.0.0.1,ONLINE,15.83 ms,2026-05-23 22:02:53
Google Server,142.250.183.14,ONLINE,27.36 ms,2026-05-23 22:02:53
Cloudflare Server,104.16.132.229,ONLINE,56.54 ms,2026-05-23 22:02:53
Manga Fier,192.168.100.250,OFFLINE,3968.22 ms,2026-05-23 22:02:57
Velside,192.168.29.1,OFFLINE,3967.77 ms,2026-05-23 22:02:57
Google DNS,8.8.8.8,ONLINE,29.48 ms,2026-05-23 22:03:27
Cloudflare DNS,1.1.1.1,ONLINE,58.17 ms,2026-05-23 22:03:27
OpenDNS,208.67.222.222,ONLINE,57.83 ms,2026-05-23 22:03:27
Quad9 DNS,9.9.9.9,ONLINE,28.04 ms,2026-05-23 22:03:27
Cisco Router,192.168.1.1,ONLINE,17.63 ms,2026-05-23 22:03:27
Localhost,127.0.0.1,ONLINE,16.78 ms,2026-05-23 22:03:27
Google Server,142.250.183.14,ONLINE,26.9 ms,2026-05-23 22:03:27
Cloudflare Server,104.16.132.229,ONLINE,56.05 ms,2026-05-23 22:03:27
Manga Fier,192.168.100.250,OFFLINE,3979.85 ms,2026-05-23 22:03:31
Velside,192.168.29.1,OFFLINE,3979.67 ms,2026-05-23 22:03:31
Google DNS,8.8.8.8,ONLINE,30.8 ms,2026-05-23 22:04:01
Cloudflare DNS,1.1.1.1,ONLINE,60.13 ms,2026-05-23 22:04:01
OpenDNS,208.67.222.222,ONLINE,58.96 ms,2026-05-23 22:04:01
Quad9 DNS,9.9.9.9,ONLINE,28.35 ms,2026-05-23 22:04:01
Cisco Router,192.168.1.1,ONLINE,21.27 ms,2026-05-23 22:04:01
Localhost,127.0.0.1,ONLINE,20.53 ms,2026-05-23 22:04:01
Google Server,142.250.183.14,ONLINE,28.98 ms,2026-05-23 22:04:01
Cloudflare Server,104.16.132.229,ONLINE,61.87 ms,2026-05-23 22:04:01
Manga Fier,192.168.100.250,OFFLINE,3982.38 ms,2026-05-23 22:04:05
Velside,192.168.29.1,OFFLINE,3982.28 ms,2026-05-23 22:04:05
Google DNS,8.8.8.8,ONLINE,31.29 ms,2026-05-23 22:04:35
Cloudflare DNS,1.1.1.1,ONLINE,57.07 ms,2026-05-23 22:04:35
OpenDNS,208.67.222.222,ONLINE,56.71 ms,2026-05-23 22:04:35
Quad9 DNS,9.9.9.9,ONLINE,29.99 ms,2026-05-23 22:04:35
Cisco Router,192.168.1.1,ONLINE,18.36 ms,2026-05-23 22:04:35
Localhost,127.0.0.1,ONLINE,19.65 ms,2026-05-23 22:04:35
Google Server,142.250.183.14,ONLINE,28.73 ms,2026-05-23 22:04:35
Cloudflare Server,104.16.132.229,ONLINE,56.36 ms,2026-05-23 22:04:35
Manga Fier,192.168.100.250,OFFLINE,3993.68 ms,2026-05-23 22:04:39
Velside,192.168.29.1,OFFLINE,3993.4 ms,2026-05-23 22:04:39
Google DNS,8.8.8.8,ONLINE,28.84 ms,2026-05-23 22:05:09
Cloudflare DNS,1.1.1.1,ONLINE,58.02 ms,2026-05-23 22:05:09
OpenDNS,208.67.222.222,ONLINE,57.34 ms,2026-05-23 22:05:09
Quad9 DNS,9.9.9.9,ONLINE,27.49 ms,2026-05-23 22:05:09
Cisco Router,192.168.1.1,ONLINE,18.57 ms,2026-05-23 22:05:09
Localhost,127.0.0.1,ONLINE,18.91 ms,2026-05-23 22:05:09
Google Server,142.250.183.14,ONLINE,26.16 ms,2026-05-23 22:05:09
Cloudflare Server,104.16.132.229,ONLINE,55.46 ms,2026-05-23 22:05:09
Manga Fier,192.168.100.250,OFFLINE,3967.31 ms,2026-05-23 22:05:13
Velside,192.168.29.1,OFFLINE,3967.02 ms,2026-05-23 22:05:13
Google DNS,8.8.8.8,ONLINE,29.77 ms,2026-05-23 22:05:43
Cloudflare DNS,1.1.1.1,ONLINE,58.58 ms,2026-05-23 22:05:43
OpenDNS,208.67.222.222,ONLINE,58.25 ms,2026-05-23 22:05:43
Quad9 DNS,9.9.9.9,ONLINE,28.85 ms,2026-05-23 22:05:43
Cisco Router,192.168.1.1,ONLINE,19.46 ms,2026-05-23 22:05:43
Localhost,127.0.0.1,ONLINE,19.2 ms,2026-05-23 22:05:43
Google Server,142.250.183.14,ONLINE,28.56 ms,2026-05-23 22:05:43
Cloudflare Server,104.16.132.229,ONLINE,57.32 ms,2026-05-23 22:05:43
Manga Fier,192.168.100.250,OFFLINE,3995.1 ms,2026-05-23 22:05:47
Velside,192.168.29.1,OFFLINE,3994.79 ms,2026-05-23 22:05:47
Google DNS,8.8.8.8,ONLINE,30.21 ms,2026-05-23 22:06:17
Cloudflare DNS,1.1.1.1,ONLINE,59.37 ms,2026-05-23 22:06:17
OpenDNS,208.67.222.222,ONLINE,58.91 ms,2026-05-23 22:06:17
Quad9 DNS,9.9.9.9,ONLINE,30.89 ms,2026-05-23 22:06:17
Cisco Router,192.168.1.1,ONLINE,19.83 ms,2026-05-23 22:06:17
Localhost,127.0.0.1,ONLINE,19.44 ms,2026-05-23 22:06:17
Google Server,142.250.183.14,ONLINE,28.4 ms,2026-05-23 22:06:17
Cloudflare Server,104.16.132.229,ONLINE,57.55 ms,2026-05-23 22:06:17
Manga Fier,192.168.100.250,OFFLINE,3980.73 ms,2026-05-23 22:06:21
Velside,192.168.29.1,OFFLINE,3980.44 ms,2026-05-23 22:06:21
Google DNS,8.8.8.8,ONLINE,30.12 ms,2026-05-23 22:06:45
Cloudflare DNS,1.1.1.1,ONLINE,59.51 ms,2026-05-23 22:06:45
OpenDNS,208.67.222.222,ONLINE,58.98 ms,2026-05-23 22:06:45
Quad9 DNS,9.9.9.9,ONLINE,29.59 ms,2026-05-23 22:06:45
Cisco Router,192.168.1.1,ONLINE,18.71 ms,2026-05-23 22:06:45
Localhost,127.0.0.1,ONLINE,18.91 ms,2026-05-23 22:06:45
Google Server,142.250.183.14,ONLINE,28.66 ms,2026-05-23 22:06:45
Cloudflare Server,104.16.132.229,ONLINE,58.03 ms,2026-05-23 22:06:45
Manga Fier,192.168.100.250,OFFLINE,3924.57 ms,2026-05-23 22:06:49
Velside,192.168.29.1,OFFLINE,3924.19 ms,2026-05-23 22:06:49
Google DNS,8.8.8.8,ONLINE,31.26 ms,2026-05-23 22:07:19
Cloudflare DNS,1.1.1.1,ONLINE,59.6 ms,2026-05-23 22:07:19
OpenDNS,208.67.222.222,ONLINE,58.84 ms,2026-05-23 22:07:19
Quad9 DNS,9.9.9.9,ONLINE,31.12 ms,2026-05-23 22:07:19
Cisco Router,192.168.1.1,ONLINE,20.94 ms,2026-05-23 22:07:19
Localhost,127.0.0.1,ONLINE,20.01 ms,2026-05-23 22:07:19
Google Server,142.250.183.14,ONLINE,29.42 ms,2026-05-23 22:07:19
Cloudflare Server,104.16.132.229,ONLINE,56.94 ms,2026-05-23 22:07:19
Manga Fier,192.168.100.250,OFFLINE,3980.58 ms,2026-05-23 22:07:23
Velside,192.168.29.1,OFFLINE,3980.19 ms,2026-05-23 22:07:23
Google DNS,8.8.8.8,ONLINE,32.16 ms,2026-05-23 22:07:53
Cloudflare DNS,1.1.1.1,ONLINE,63.13 ms,2026-05-23 22:07:53
OpenDNS,208.67.222.222,ONLINE,57.54 ms,2026-05-23 22:07:53
Quad9 DNS,9.9.9.9,ONLINE,32.11 ms,2026-05-23 22:07:53
Cisco Router,192.168.1.1,ONLINE,21.92 ms,2026-05-23 22:07:53
Localhost,127.0.0.1,ONLINE,23.26 ms,2026-05-23 22:07:53
Google Server,142.250.183.14,ONLINE,28.48 ms,2026-05-23 22:07:53
Cloudflare Server,104.16.132.229,ONLINE,57.38 ms,2026-05-23 22:07:53
Manga Fier,192.168.100.250,OFFLINE,3976.23 ms,2026-05-23 22:07:57
Velside,192.168.29.1,OFFLINE,3975.57 ms,2026-05-23 22:07:57
Google DNS,8.8.8.8,ONLINE,32.01 ms,2026-05-23 22:08:27
Cloudflare DNS,1.1.1.1,ONLINE,60.2 ms,2026-05-23 22:08:27
OpenDNS,208.67.222.222,ONLINE,59.73 ms,2026-05-23 22:08:27
Quad9 DNS,9.9.9.9,ONLINE,31.07 ms,2026-05-23 22:08:27
Cisco Router,192.168.1.1,ONLINE,21.4 ms,2026-05-23 22:08:27
Localhost,127.0.0.1,ONLINE,19.07 ms,2026-05-23 22:08:27
Google Server,142.250.183.14,ONLINE,29.52 ms,2026-05-23 22:08:27
Cloudflare Server,104.16.132.229,ONLINE,57.37 ms,2026-05-23 22:08:27
Manga Fier,192.168.100.250,OFFLINE,3991.99 ms,2026-05-23 22:08:31
Velside,192.168.29.1,OFFLINE,3991.56 ms,2026-05-23 22:08:31
Google DNS,8.8.8.8,ONLINE,28.01 ms,2026-05-23 22:09:01
Cloudflare DNS,1.1.1.1,ONLINE,57.29 ms,2026-05-23 22:09:01
OpenDNS,208.67.222.222,ONLINE,57.14 ms,2026-05-23 22:09:01
Quad9 DNS,9.9.9.9,ONLINE,27.26 ms,2026-05-23 22:09:01
Cisco Router,192.168.1.1,ONLINE,20.41 ms,2026-05-23 22:09:01
Localhost,127.0.0.1,ONLINE,18.46 ms,2026-05-23 22:09:01
Google Server,142.250.183.14,ONLINE,29.19 ms,2026-05-23 22:09:01
Cloudflare Server,104.16.132.229,ONLINE,57.99 ms,2026-05-23 22:09:01
Manga Fier,192.168.100.250,OFFLINE,3973.5 ms,2026-05-23 22:09:05
Velside,192.168.29.1,OFFLINE,3973.13 ms,2026-05-23 22:09:05
Google DNS,8.8.8.8,ONLINE,30.68 ms,2026-05-23 22:09:35
Cloudflare DNS,1.1.1.1,ONLINE,58.34 ms,2026-05-23 22:09:35
OpenDNS,208.67.222.222,ONLINE,60.17 ms,2026-05-23 22:09:35
Quad9 DNS,9.9.9.9,ONLINE,29.09 ms,2026-05-23 22:09:35
Cisco Router,192.168.1.1,ONLINE,21.4 ms,2026-05-23 22:09:35
Localhost,127.0.0.1,ONLINE,18.55 ms,2026-05-23 22:09:35
Google Server,142.250.183.14,ONLINE,28.32 ms,2026-05-23 22:09:35
Cloudflare Server,104.16.132.229,ONLINE,58.73 ms,2026-05-23 22:09:35
Manga Fier,192.168.100.250,OFFLINE,3976.41 ms,2026-05-23 22:09:39
Velside,192.168.29.1,OFFLINE,3976.21 ms,2026-05-23 22:09:39
Google DNS,8.8.8.8,ONLINE,27.92 ms,2026-05-23 22:10:09
Cloudflare DNS,1.1.1.1,ONLINE,59.27 ms,2026-05-23 22:10:09
OpenDNS,208.67.222.222,ONLINE,58.83 ms,2026-05-23 22:10:09
Quad9 DNS,9.9.9.9,ONLINE,29.91 ms,2026-05-23 22:10:09
Cisco Router,192.168.1.1,ONLINE,19.52 ms,2026-05-23 22:10:09
Localhost,127.0.0.1,ONLINE,19.28 ms,2026-05-23 22:10:09
Google Server,142.250.183.14,ONLINE,27.3 ms,2026-05-23 22:10:09
Cloudflare Server,104.16.132.229,ONLINE,56.56 ms,2026-05-23 22:10:09
Manga Fier,192.168.100.250,OFFLINE,3991.44 ms,2026-05-23 22:10:13
Velside,192.168.29.1,OFFLINE,3990.27 ms,2026-05-23 22:10:13
Google DNS,8.8.8.8,ONLINE,32.17 ms,2026-05-23 22:10:43
Cloudflare DNS,1.1.1.1,ONLINE,60.24 ms,2026-05-23 22:10:44
OpenDNS,208.67.222.222,ONLINE,59.49 ms,2026-05-23 22:10:44
Quad9 DNS,9.9.9.9,ONLINE,31.4 ms,2026-05-23 22:10:43
Cisco Router,192.168.1.1,ONLINE,22.26 ms,2026-05-23 22:10:43
Localhost,127.0.0.1,ONLINE,20.94 ms,2026-05-23 22:10:43
Google Server,142.250.183.14,ONLINE,30.86 ms,2026-05-23 22:10:43
Cloudflare Server,104.16.132.229,ONLINE,58.7 ms,2026-05-23 22:10:44
Manga Fier,192.168.100.250,OFFLINE,3666.48 ms,2026-05-23 22:10:47
Velside,192.168.29.1,OFFLINE,3666.28 ms,2026-05-23 22:10:47
Google DNS,8.8.8.8,ONLINE,31.06 ms,2026-05-23 22:11:17
Cloudflare DNS,1.1.1.1,ONLINE,56.83 ms,2026-05-23 22:11:17
OpenDNS,208.67.222.222,ONLINE,56.61 ms,2026-05-23 22:11:17
Quad9 DNS,9.9.9.9,ONLINE,30.71 ms,2026-05-23 22:11:17
Cisco Router,192.168.1.1,ONLINE,20.62 ms,2026-05-23 22:11:17
Localhost,127.0.0.1,ONLINE,20.18 ms,2026-05-23 22:11:17
Google Server,142.250.183.14,ONLINE,28.39 ms,2026-05-23 22:11:17
Cloudflare Server,104.16.132.229,ONLINE,59.0 ms,2026-05-23 22:11:17
Manga Fier,192.168.100.250,OFFLINE,3962.55 ms,2026-05-23 22:11:21
Velside,192.168.29.1,OFFLINE,3961.9 ms,2026-05-23 22:11:21
Google DNS,8.8.8.8,ONLINE,29.06 ms,2026-05-23 22:11:51
Cloudflare DNS,1.1.1.1,ONLINE,59.06 ms,2026-05-23 22:11:51
OpenDNS,208.67.222.222,ONLINE,58.7 ms,2026-05-23 22:11:51
Quad9 DNS,9.9.9.9,ONLINE,27.92 ms,2026-05-23 22:11:51
Cisco Router,192.168.1.1,ONLINE,19.42 ms,2026-05-23 22:11:51
Localhost,127.0.0.1,ONLINE,18.97 ms,2026-05-23 22:11:51
Google Server,142.250.183.14,ONLINE,30.18 ms,2026-05-23 22:11:51
Cloudflare Server,104.16.132.229,ONLINE,54.73 ms,2026-05-23 22:11:51
Manga Fier,192.168.100.250,OFFLINE,3988.98 ms,2026-05-23 22:11:55
Velside,192.168.29.1,OFFLINE,3988.51 ms,2026-05-23 22:11:55
Google DNS,8.8.8.8,ONLINE,34.16 ms,2026-05-23 22:12:25
Cloudflare DNS,1.1.1.1,ONLINE,62.97 ms,2026-05-23 22:12:25
OpenDNS,208.67.222.222,ONLINE,62.75 ms,2026-05-23 22:12:25
Quad9 DNS,9.9.9.9,ONLINE,32.95 ms,2026-05-23 22:12:25
Cisco Router,192.168.1.1,ONLINE,22.53 ms,2026-05-23 22:12:25
Localhost,127.0.0.1,ONLINE,21.16 ms,2026-05-23 22:12:25
Google Server,142.250.183.14,ONLINE,31.24 ms,2026-05-23 22:12:25
Cloudflare Server,104.16.132.229,ONLINE,60.0 ms,2026-05-23 22:12:25
Manga Fier,192.168.100.250,OFFLINE,3978.59 ms,2026-05-23 22:12:29
Velside,192.168.29.1,OFFLINE,3978.25 ms,2026-05-23 22:12:29
Google DNS,8.8.8.8,ONLINE,29.61 ms,2026-05-23 22:12:59
Cloudflare DNS,1.1.1.1,ONLINE,59.13 ms,2026-05-23 22:12:59
OpenDNS,208.67.222.222,ONLINE,58.74 ms,2026-05-23 22:12:59
Quad9 DNS,9.9.9.9,OFFLINE,3974.86 ms,2026-05-23 22:13:03
Cisco Router,192.168.1.1,ONLINE,18.21 ms,2026-05-23 22:12:59
Localhost,127.0.0.1,ONLINE,16.77 ms,2026-05-23 22:12:59
Google Server,142.250.183.14,OFFLINE,3973.07 ms,2026-05-23 22:13:03
Cloudflare Server,104.16.132.229,ONLINE,58.16 ms,2026-05-23 22:12:59
Manga Fier,192.168.100.250,OFFLINE,3972.24 ms,2026-05-23 22:13:03
Velside,192.168.29.1,OFFLINE,3971.94 ms,2026-05-23 22:13:03
Google DNS,8.8.8.8,ONLINE,30.49 ms,2026-05-23 22:13:33
Cloudflare DNS,1.1.1.1,ONLINE,58.72 ms,2026-05-23 22:13:33
OpenDNS,208.67.222.222,ONLINE,60.14 ms,2026-05-23 22:13:33
Quad9 DNS,9.9.9.9,ONLINE,29.13 ms,2026-05-23 22:13:33
Cisco Router,192.168.1.1,ONLINE,19.17 ms,2026-05-23 22:13:33
Localhost,127.0.0.1,ONLINE,18.5 ms,2026-05-23 22:13:33
Google Server,142.250.183.14,ONLINE,30.13 ms,2026-05-23 22:13:33
Cloudflare Server,104.16.132.229,ONLINE,55.56 ms,2026-05-23 22:13:33
Manga Fier,192.168.100.250,OFFLINE,3981.51 ms,2026-05-23 22:13:37
Velside,192.168.29.1,OFFLINE,3981.19 ms,2026-05-23 22:13:37
Google DNS,8.8.8.8,ONLINE,31.54 ms,2026-05-23 22:14:07
Cloudflare DNS,1.1.1.1,ONLINE,61.53 ms,2026-05-23 22:14:07
OpenDNS,208.67.222.222,ONLINE,60.73 ms,2026-05-23 22:14:07
Quad9 DNS,9.9.9.9,ONLINE,31.14 ms,2026-05-23 22:14:07
Cisco Router,192.168.1.1,ONLINE,21.62 ms,2026-05-23 22:14:07
Localhost,127.0.0.1,ONLINE,21.32 ms,2026-05-23 22:14:07
Google Server,142.250.183.14,ONLINE,29.2 ms,2026-05-23 22:14:07
Cloudflare Server,104.16.132.229,ONLINE,58.62 ms,2026-05-23 22:14:07
Manga Fier,192.168.100.250,OFFLINE,3979.3 ms,2026-05-23 22:14:11
Velside,192.168.29.1,OFFLINE,3979.04 ms,2026-05-23 22:14:11
Google DNS,8.8.8.8,ONLINE,31.54 ms,2026-05-23 22:14:41
Cloudflare DNS,1.1.1.1,ONLINE,59.58 ms,2026-05-23 22:14:41
OpenDNS,208.67.222.222,ONLINE,58.78 ms,2026-05-23 22:14:41
Quad9 DNS,9.9.9.9,ONLINE,30.86 ms,2026-05-23 22:14:41
Cisco Router,192.168.1.1,ONLINE,20.41 ms,2026-05-23 22:14:41
Localhost,127.0.0.1,ONLINE,17.68 ms,2026-05-23 22:14:41
Google Server,142.250.183.14,ONLINE,29.01 ms,2026-05-23 22:14:41
Cloudflare Server,104.16.132.229,ONLINE,56.8 ms,2026-05-23 22:14:41
Manga Fier,192.168.100.250,OFFLINE,3976.1 ms,2026-05-23 22:14:45
Velside,192.168.29.1,OFFLINE,3975.87 ms,2026-05-23 22:14:45
